wavelength_um, flux_erg/cm2/s/cm
4.716427800082795940e+00,8.977295320769023132e+10
4.700732532861221280e+00,8.946786606597251892e+10
4.685089496146209065e+00,8.797154315084423828e+10
4.669498516125756282e+00,8.878180907069445801e+10
4.653959419566270128e+00,9.164090675258218384e+10
4.638472033810641548e+00,9.357308751629225159e+10
4.623036186776330325e+00,9.029470050392565918e+10
4.607651706953447501e+00,9.425753537278054810e+10
4.592318423402852900e+00,9.510358254517356873e+10
4.577036165754257979e+00,9.280586840349769592e+10
4.561804764204327789e+00,9.694015545503611755e+10
4.546624049514795374e+00,9.707331595776351929e+10
4.531493853010586825e+00,9.375998471541809082e+10
4.516414006577939233e+00,9.621766776873912048e+10
4.501384342662538174e+00,9.772262762702127075e+10
4.486404694267654314e+00,9.873233657172766113e+10
4.471474894952289780e+00,9.783504153349719238e+10
4.456594778829320092e+00,1.013311078712001343e+11
4.441764180563663622e+00,1.001984428321134033e+11
4.426982935370441297e+00,9.787645385339730835e+10
4.412250879013135396e+00,1.027184626407216797e+11
4.397567847801777674e+00,9.985981075719627380e+10
4.382933678591123261e+00,1.017519191364132233e+11
4.368348208778839670e+00,1.013800976222472992e+11
4.353811276303702904e+00,1.011817801724363708e+11
4.339322719643790904e+00,1.013160153400565033e+11
4.324882377814692980e+00,1.006091944291511078e+11
4.310490090367721905e+00,1.025136692324858856e+11
4.296145697388130458e+00,1.009046146727998657e+11
4.281849039493327069e+00,1.014974826990521088e+11
4.267599957831119895e+00,1.024016521607269897e+11
4.253398294077937791e+00,1.045326858587209015e+11
4.239243890437079720e+00,1.038334000040513153e+11
4.225136589636956153e+00,1.045237620114690247e+11
4.211076234929346462e+00,1.046619739158050842e+11
4.197062670087650993e+00,1.033958110917876740e+11
4.183095739405163549e+00,1.054476373550650940e+11
4.169175287693333232e+00,1.058566728998861389e+11
4.155301160280044037e+00,1.052682894098445435e+11
4.141473203007897119e+00,1.047209518035458069e+11
4.127691262232496605e+00,1.058715922284976196e+11
4.113955184820741628e+00,1.053694089086682434e+11
4.100264818149125468e+00,1.056807339684620056e+11
4.086620010102040013e+00,1.055862926456662750e+11
4.073020609070087339e+00,1.066201316572681427e+11
4.059466463948390391e+00,1.066030418197386169e+11
4.045957424134917879e+00,1.075843511067989044e+11
4.032493339528811838e+00,1.081556323160919800e+11
4.019074060528715187e+00,1.089209504722071686e+11
4.005699438031116166e+00,1.095608179927059784e+11
3.992369323428683003e+00,1.104025563628491364e+11
3.979083568608620780e+00,1.110228705568746643e+11
3.965842025951021643e+00,1.121668619434030457e+11
3.952644548327224339e+00,1.133899448687763062e+11
3.939490989098182183e+00,1.139582776834584961e+11
3.926381202112830593e+00,1.150030417834048462e+11
3.913315041706464825e+00,1.157826913668414001e+11
3.900292362699122162e+00,1.166722804430189056e+11
3.887313020393967200e+00,1.181331133739508362e+11
3.874376870575685139e+00,1.185484356076817169e+11
3.861483769508876840e+00,1.191179341098861847e+11
3.848633573936468100e+00,1.201720154100563812e+11
3.835826141078110929e+00,1.218041295359344177e+11
3.823061328628599043e+00,1.225853917910597229e+11
3.810338994756291342e+00,1.240281697807716980e+11
3.797658998101528294e+00,1.239607696093339233e+11
3.785021197775067847e+00,1.228659961013929901e+11
3.772425453356514691e+00,1.248301856585576935e+11
3.759871624892765940e+00,1.260072831061799164e+11
3.747359572896451052e+00,1.253695622263757172e+11
3.734889158344382398e+00,1.273125562055050812e+11
3.722460242676015607e+00,1.257792163590986176e+11
3.710072687791902801e+00,1.253546044724145508e+11
3.697726356052162267e+00,1.269093997012981415e+11
3.685421110274950784e+00,1.231126805116869507e+11
3.673156813734934190e+00,1.211054066216920166e+11
3.660933330161773025e+00,1.232608950305154266e+11
3.648750523738605978e+00,1.151764741041054077e+11
3.636608259100540419e+00,1.152454055664548950e+11
3.624506401333151384e+00,1.106035058518587341e+11
3.612444815970977885e+00,1.025668370788327789e+11
3.600423368996032547e+00,1.017637428643741608e+11
3.588441926836311691e+00,9.599764706731373596e+10
3.576500356364310740e+00,9.361631160514587402e+10
3.564598524895544518e+00,8.929621585821726990e+10
3.552736300187073759e+00,8.421373709746954346e+10
3.540913550436035617e+00,7.798396505567112732e+10
3.529130144278178172e+00,7.744077102615507507e+10
3.517385950786403814e+00,7.728555083301405334e+10
3.505680839469311305e+00,7.006409232506491089e+10
3.494014680269746265e+00,6.811848224945148468e+10
3.482387343563357884e+00,6.794571831558502197e+10
3.470798700157156969e+00,6.042417871474490356e+10
3.459248621288081971e+00,6.476733942380413818e+10
3.447736978621565473e+00,6.453255721971240234e+10
3.436263644250112659e+00,6.017090636312061310e+10
3.424828490691876226e+00,6.366046942394810486e+10
3.413431390889240635e+00,6.526552602790067291e+10
3.402072218207412568e+00,7.071863646822705078e+10
3.390750846433012278e+00,6.805060965390130615e+10
3.379467149772669377e+00,7.209657711171833801e+10
3.368221002851628842e+00,6.900566422926667786e+10
3.357012280712355246e+00,5.939581957822791290e+10
3.345840858813145857e+00,4.080420071849334717e+10
3.334706613026746425e+00,2.351768129125563431e+10
3.323609419638970497e+00,1.407552887178938293e+10
3.312549155347326746e+00,4.002241450785875702e+10
3.301525697259648506e+00,8.852670908167474365e+10
3.290538922892727758e+00,8.923969238231687927e+10
3.279588710170954879e+00,8.802797802824252319e+10
3.268674937424961957e+00,7.812078271466368103e+10
3.257797483390270088e+00,7.376900310909913635e+10
3.246956227205942902e+00,6.637552108194966125e+10
3.236151048413244080e+00,5.861130379796289062e+10
3.225381826954298869e+00,5.443225413955587006e+10
3.214648443170757375e+00,5.818873844321516418e+10
3.203950777802468508e+00,5.261336363924337769e+10
3.193288711986153494e+00,5.734611332886594391e+10
3.182662127254086926e+00,5.671806403220114899e+10
3.172070905532775154e+00,6.229501946614771271e+10
3.161514929141651109e+00,6.190806645435219574e+10
3.150994080791762020e+00,6.472535161082215118e+10
3.140508243584468229e+00,7.494761405880589294e+10
3.130057301010144233e+00,8.537774276144676208e+10
3.119641136946882387e+00,8.846082025526612854e+10
3.109259635659205490e+00,9.996487908364532471e+10
3.098912681796778923e+00,1.037377185096707458e+11
3.088600160393129013e+00,1.036243485326045837e+11
3.078321956864366715e+00,1.217163167509443359e+11
3.068077957007912637e+00,1.208062383727457275e+11
3.057868047001231382e+00,1.362902383614733429e+11
3.047692113400561453e+00,1.299675285115700531e+11
3.037550043139661149e+00,1.507840185158321838e+11
3.027441723528547346e+00,1.454460506257172546e+11
3.017367042252246279e+00,1.435397733119903564e+11
3.007325887369543427e+00,1.345039500960822296e+11
2.997318147311741399e+00,1.436207490814857483e+11
2.987343710881419589e+00,1.368934071751031647e+11
2.977402467251198726e+00,1.381147792715036621e+11
2.967494305962508960e+00,1.265594168665836334e+11
2.957619116924364189e+00,1.343246644817913055e+11
2.947776790412136361e+00,1.275417619697669067e+11
2.937967217066339121e+00,1.392128934632478027e+11
2.928190287891409671e+00,1.213783626917009125e+11
2.918445894254499962e+00,1.305254019995558472e+11
2.908733927884268322e+00,1.096213012370036774e+11
2.899054280869678646e+00,1.300092981046816559e+11
2.889406845658798240e+00,9.639573636108412170e+10
2.879791515057603668e+00,1.274726422887374573e+11
2.870208182228793259e+00,9.810948592046089172e+10
2.860656740690593836e+00,1.183835705800592957e+11
2.851137084315583881e+00,9.236776564367919922e+10
2.841649107329508706e+00,1.135485024689799805e+11
2.832192704310109388e+00,1.061392087613061371e+11
2.822767770185949043e+00,9.597418223554867554e+10
2.813374200235247091e+00,1.047537009061045837e+11
2.804011890084713965e+00,8.595327735963150024e+10
2.794680735708392039e+00,1.208436716772868347e+11
2.785380633426500552e+00,7.975239620412307739e+10
2.776111479904282753e+00,9.963447083097404480e+10
2.766873172150857485e+00,7.627798259301431274e+10
2.757665607518076101e+00,1.012848258901086121e+11
2.748488683699380264e+00,1.245279177630679321e+11
2.739342298728666858e+00,8.441319693666717529e+10
